goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,total_cross,corner_taken,touches,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
47,53,5,667,207,33,8,1,2,40,7,3,128,12,40,108,505,728,5,720,365,3,5,4,18797,105,2260,1103,309,26450,2,440,1,22,19
46,65,5,453,135,10,9,1,2,39,7,1,87,8,59,183,734,748,11,1521,799,1,8,6,11178,54,2057,821,173,19421,8,357,0,50,26
48,72,1,433,145,8,10,4,1,39,9,4,65,9,63,141,538,677,3,1025,567,2,4,4,13671,25,2792,731,197,21051,2,310,0,45,16
85,72,0,580,204,17,8,2,3,73,12,7,64,16,33,78,510,652,0,839,500,1,2,2,20125,103,2399,688,218,27658,3,436,0,38,18
39,40,1,511,149,11,2,5,0,33,6,5,92,15,34,153,667,812,10,1632,1011,0,2,1,16100,151,2297,765,188,26306,8,467,1,70,44
47,78,5,499,138,14,14,3,3,41,6,3,74,10,64,112,614,574,4,1074,625,0,8,5,15127,37,2622,752,172,22666,3,367,1,47,11
36,65,0,378,128,9,10,0,1,32,4,0,100,12,39,191,401,533,2,1184,640,1,6,3,13572,18,3028,707,167,20732,5,344,1,60,19
56,52,5,423,149,8,9,5,1,49,7,7,92,9,60,130,413,630,1,920,487,2,4,2,15200,63,2667,744,203,22770,4,358,2,29,23
55,51,2,657,191,15,10,5,0,40,15,3,59,8,46,139,661,754,16,1363,800,1,6,4,16791,111,2407,954,256,25438,6,560,2,68,50
31,70,7,418,125,5,7,1,1,28,3,2,70,10,57,135,487,623,6,1130,661,1,4,4,16527,14,2740,766,171,23785,2,413,0,77,18
37,70,2,438,138,9,3,3,0,29,8,1,85,9,53,176,740,774,4,1301,682,2,7,6,13158,62,1980,834,218,21017,8,300,0,41,15
54,78,2,591,210,19,9,3,1,47,7,5,99,17,29,99,584,690,4,1112,580,1,5,4,20245,99,2424,848,217,28119,1,389,1,32,4
75,51,3,626,212,7,16,9,3,64,11,3,80,14,39,104,504,710,4,981,603,2,1,0,18425,52,2008,863,240,25959,1,434,0,53,29
43,86,2,499,152,13,9,2,2,37,6,6,126,8,53,136,528,835,0,2139,1043,5,2,2,12200,48,2341,960,219,21064,2,575,0,68,38
68,50,3,797,248,17,12,2,2,59,9,4,114,22,24,124,504,773,15,1069,585,1,1,0,19923,205,2121,938,237,29962,3,518,1,111,35
45,63,1,481,153,10,10,4,2,34,10,1,102,8,65,132,553,876,1,1823,874,1,2,2,13947,31,2420,966,209,22761,8,717,0,35,20
69,72,0,659,252,19,7,5,2,59,10,3,72,13,35,140,645,805,1,1046,576,3,2,2,18649,64,2554,738,254,27014,2,581,0,38,27
86,62,0,669,257,22,10,7,0,74,12,3,74,17,26,99,314,661,1,1003,526,1,2,2,20150,45,2662,761,273,28150,1,484,0,21,11
68,61,5,715,230,9,7,4,4,56,12,12,99,24,24,120,640,741,8,1322,716,1,3,3,19416,291,2192,1039,257,30077,3,579,0,56,22
74,55,3,627,208,13,14,5,1,65,9,7,110,15,31,91,505,878,1,1840,926,2,4,3,18831,92,1946,888,234,28156,2,776,1,45,26
43,80,0,399,123,11,16,1,1,37,6,3,59,6,51,150,537,605,0,999,577,1,3,3,11825,37,2653,766,159,19042,3,445,0,53,10
69,59,1,745,244,21,12,6,2,61,8,4,113,15,33,127,616,769,19,762,470,1,3,2,19236,252,2044,995,257,27426,7,573,1,84,22
46,70,3,414,143,6,6,6,5,34,12,1,78,3,62,143,515,935,3,2145,1023,1,8,8,10630,35,2219,774,193,19541,6,551,0,77,11
43,67,0,487,146,6,6,2,0,35,8,1,91,7,59,125,595,701,1,1176,712,2,7,5,14704,41,1942,834,187,22866,0,514,2,65,14
37,65,3,555,174,13,10,1,2,32,5,1,50,8,79,131,743,908,13,1353,666,1,7,7,14753,126,2607,681,181,25000,11,613,0,46,20
50,77,0,439,138,8,13,4,0,48,2,0,55,7,63,125,553,699,4,1022,557,0,2,2,13542,20,2729,872,203,21533,7,496,0,56,12
40,73,3,446,140,9,5,6,1,37,3,0,52,11,50,111,764,794,1,931,394,2,8,4,14530,29,2939,704,164,22363,2,391,3,67,66
41,69,7,491,138,10,7,6,1,37,4,4,70,11,60,144,414,702,2,903,510,6,2,2,14457,41,2092,749,188,21922,3,411,0,71,20
48,66,5,453,143,10,13,4,2,41,7,2,58,3,78,149,716,690,6,1328,575,4,3,2,12424,59,2067,610,166,20036,6,370,1,53,10
54,57,3,509,169,17,3,2,0,50,4,0,93,15,33,94,619,813,5,875,400,0,2,2,18184,38,2729,952,208,25815,4,422,0,50,15
42,63,1,500,154,15,7,2,2,34,8,3,117,8,50,142,444,848,1,1952,978,1,6,2,13773,39,2376,910,207,22347,8,511,3,77,19
47,72,3,438,141,10,7,3,1,35,12,6,97,5,69,177,769,741,9,1520,733,5,8,7,14247,58,1900,676,177,22314,9,505,1,101,25
64,66,3,526,183,16,10,5,5,53,11,1,97,13,43,108,595,676,4,1382,856,1,4,3,18894,61,2077,1000,216,27367,1,491,0,32,14
47,66,2,500,170,7,9,1,2,42,5,3,83,5,73,135,692,716,3,901,423,3,7,6,17927,54,2048,813,198,25173,5,418,1,41,28
65,40,4,571,211,21,13,1,1,61,4,3,86,18,36,128,734,709,4,849,418,3,1,1,21249,168,1859,754,227,29337,3,511,0,45,20
102,72,1,673,238,19,10,6,5,86,16,5,59,16,37,61,496,756,8,938,531,2,1,1,20761,120,1791,892,283,28341,0,411,0,64,31
36,60,2,376,94,7,14,4,0,33,3,1,62,9,53,157,461,655,4,1910,959,3,7,7,10831,23,2194,826,166,18936,4,460,0,68,23
27,77,1,351,100,6,8,2,0,26,1,3,51,11,53,149,549,727,4,1090,575,0,5,4,15736,37,2856,722,141,23067,4,357,0,39,17
38,64,3,412,132,10,16,4,0,35,3,1,65,16,51,155,585,696,2,1084,597,0,7,5,14445,56,2732,712,171,21820,4,507,1,76,13
68,48,3,522,179,11,11,10,0,65,3,6,50,15,36,166,819,869,0,1040,552,0,4,4,13370,54,2695,762,197,21710,7,366,0,49,22
33,58,2,414,143,9,6,5,1,28,5,2,71,12,48,139,695,845,7,1409,852,2,6,6,11792,19,1904,706,172,20309,4,361,0,81,8
45,71,4,533,174,12,6,4,3,34,11,2,84,6,68,115,478,732,9,1584,741,1,4,4,14599,84,2285,941,203,23005,5,506,0,74,38
41,62,3,417,139,7,2,4,1,33,8,3,68,11,54,178,582,784,9,1155,607,4,4,4,13109,52,1952,868,179,20782,8,423,0,52,39
34,69,1,473,144,10,8,1,1,27,7,4,96,9,54,173,609,888,6,1596,978,2,5,3,14144,122,2126,985,172,24442,4,491,1,58,27
62,72,2,502,191,12,13,3,2,59,3,2,82,13,44,149,461,712,6,1118,628,1,6,3,17586,38,2968,767,196,25309,9,469,2,56,19
55,52,3,452,160,19,5,7,0,51,5,2,53,10,67,150,460,604,1,1092,616,5,5,2,17152,51,2461,628,193,24801,4,439,2,36,21
68,53,4,523,213,15,12,3,0,63,5,4,74,17,41,101,541,714,14,1207,703,2,6,5,21561,144,1799,753,210,29825,3,367,1,70,27
34,65,3,388,107,10,12,1,1,31,3,0,68,11,48,172,721,642,4,992,547,3,6,5,12262,29,2661,847,188,19822,5,480,0,54,14
40,57,8,444,125,12,10,4,0,38,2,2,73,7,59,142,591,735,22,1278,693,2,9,8,14172,148,2300,895,165,24327,5,659,1,40,24
41,59,5,441,132,10,12,2,1,35,6,3,60,8,66,128,452,800,2,1783,859,2,7,3,10431,45,2199,1087,238,19140,6,532,2,61,28
44,51,3,359,121,7,8,5,0,36,8,2,82,10,58,160,514,644,0,1229,617,1,5,3,14749,25,2726,629,150,22298,6,381,1,28,23
45,54,5,544,177,7,5,3,0,39,6,7,85,13,45,122,743,781,7,1511,886,2,4,3,15723,170,2099,1005,221,26576,6,538,0,69,56
34,78,4,390,114,12,9,3,0,33,1,1,72,12,45,159,499,728,5,1161,567,4,6,6,12287,32,1989,855,165,19830,3,397,0,91,6
46,68,2,482,143,20,11,3,2,42,4,4,74,9,48,156,532,716,13,1316,791,2,5,3,10349,58,2062,766,191,18195,5,449,2,64,20
43,59,1,572,174,18,9,5,0,38,5,1,120,5,70,184,583,783,13,1353,723,2,6,5,13367,126,2126,814,181,21823,9,574,1,39,41
41,57,2,489,161,18,11,3,0,35,6,2,124,13,55,132,730,709,12,1557,832,1,2,2,11792,91,2203,752,181,21245,6,445,0,61,32
37,63,2,450,145,15,7,3,1,34,3,2,73,8,56,128,462,658,4,953,509,1,2,1,17174,56,2541,800,227,24639,4,379,1,29,13
68,58,3,662,220,22,14,5,0,62,6,7,88,16,37,87,872,875,6,1280,738,3,5,3,18991,225,2044,1069,267,29877,9,692,2,65,26
66,51,1,555,195,19,12,4,1,59,7,9,123,9,61,125,534,960,2,2043,1053,1,1,1,15466,56,2428,994,238,24679,6,612,0,46,21
72,65,6,654,238,23,9,4,1,67,5,3,93,13,43,94,709,772,3,1077,580,1,9,6,20150,373,1462,928,252,28629,4,601,2,56,25
41,51,4,419,128,5,9,5,0,33,8,0,103,10,55,149,576,710,7,826,426,0,5,5,16342,60,2379,683,153,23663,3,359,0,59,15
52,66,3,590,192,12,5,5,1,44,8,2,75,14,48,105,442,798,9,1175,628,2,3,1,19374,103,2151,638,198,27353,3,468,2,38,41
48,77,9,444,159,11,10,6,1,44,4,6,93,7,56,162,829,890,10,1641,904,2,6,5,12489,136,2265,884,180,22903,7,534,0,54,30
34,63,5,402,113,5,9,2,0,32,2,1,86,14,48,184,738,724,8,1632,1010,1,6,3,10307,61,2176,661,181,19825,3,383,3,117,17
42,57,2,459,153,14,6,6,2,38,4,2,66,3,82,147,661,686,13,1552,775,2,9,5,13591,83,2348,825,174,23571,7,524,3,55,27
66,55,2,681,241,17,6,0,2,50,16,6,77,9,46,90,721,745,8,1595,870,1,3,3,16647,101,2028,884,262,25155,6,466,0,44,30
34,59,4,590,163,10,3,5,2,29,5,2,101,13,45,110,685,934,12,1636,927,1,3,2,12319,139,2226,943,210,23071,10,445,1,38,20
48,71,2,506,165,19,13,4,2,42,6,4,92,7,59,183,667,844,16,1116,621,1,4,4,14611,123,1970,973,230,22681,7,350,0,30,25
47,62,3,549,191,12,13,7,1,41,6,0,92,8,66,160,755,830,10,1623,870,3,6,5,14616,164,2197,689,180,24973,8,522,1,72,35
52,59,2,497,158,5,12,5,0,44,8,4,81,15,39,225,690,880,6,1531,877,3,6,6,13127,70,2055,1031,236,23210,10,520,0,39,39
61,55,5,642,189,20,6,3,0,53,8,4,62,17,35,81,763,958,6,1094,603,2,4,3,18575,142,2454,1017,268,28704,1,489,1,52,28
44,63,4,440,132,8,9,3,0,38,6,1,74,9,64,98,467,668,2,953,492,1,6,6,15654,27,2410,713,183,23127,5,410,0,25,28
71,68,2,610,227,13,10,6,3,62,9,2,64,13,36,106,762,739,3,1006,565,1,3,3,20527,202,1749,866,254,29045,2,476,0,76,13
40,84,5,422,143,7,9,3,0,36,4,0,61,7,68,140,512,618,0,1016,494,2,4,3,14049,22,2600,686,164,21547,3,390,1,53,35
45,72,5,428,137,14,2,4,2,31,14,3,81,9,52,153,474,791,5,1090,604,1,7,5,15324,40,1970,731,164,23324,2,469,2,84,17
84,44,1,638,233,16,12,2,2,75,9,9,70,17,38,71,379,637,4,736,362,0,6,4,22962,106,2370,764,230,30324,2,447,2,25,20
38,55,6,469,154,7,7,2,4,29,9,3,91,7,60,119,466,851,2,2072,938,2,5,5,12576,29,2311,849,183,21259,4,589,0,55,27
49,65,1,430,144,9,5,3,1,44,5,2,75,18,35,96,594,760,4,755,373,2,2,2,20070,43,2649,786,228,27542,4,522,0,29,13
45,53,1,464,143,8,11,3,0,39,6,0,66,7,67,106,640,709,1,951,526,0,6,4,17270,33,2484,749,221,25291,2,410,2,58,12
42,66,4,515,167,12,4,1,1,37,5,4,130,10,45,190,606,896,13,1601,867,2,6,3,15316,220,1901,720,189,25662,7,601,2,65,37
42,67,3,519,162,13,6,5,1,29,13,2,71,8,62,129,578,729,7,925,413,1,8,4,15715,55,2154,744,212,22943,3,414,4,42,23
56,52,7,597,184,12,10,4,1,50,6,3,102,2,71,126,662,725,10,1088,609,5,6,6,14252,101,2286,807,187,22224,8,524,0,38,23
68,64,1,512,178,16,12,1,2,56,13,4,88,19,28,112,481,564,0,853,436,2,1,1,20064,85,2308,753,220,27525,4,399,0,20,6
103,54,5,834,288,13,16,11,3,94,9,8,96,18,32,103,705,772,10,1055,560,1,5,4,18852,268,2071,1083,286,28914,3,503,1,87,30
28,62,2,467,148,15,7,1,1,19,9,1,48,12,62,154,529,675,4,1071,472,3,4,4,14747,58,2105,818,197,22570,10,489,0,72,11
77,50,0,736,224,26,14,5,2,65,12,4,98,20,27,66,657,927,5,1279,722,3,2,2,19505,192,2714,1021,269,29875,0,470,0,61,19
72,42,5,597,205,16,11,5,2,65,7,7,80,14,37,94,636,748,19,873,492,0,6,4,21110,226,1755,951,260,28862,5,411,1,31,20
55,40,3,474,169,4,13,1,1,48,7,7,73,14,33,133,496,816,2,2136,1006,1,4,4,12397,28,2142,877,198,21360,8,620,0,55,20
20,63,1,376,116,7,3,0,0,15,5,2,103,3,89,129,510,898,5,2042,976,2,4,4,11739,29,2168,804,158,20140,5,464,0,68,24
45,57,5,532,154,10,7,4,1,40,5,2,98,13,56,134,694,820,17,1291,686,1,6,5,14166,129,2220,863,181,22628,16,441,0,62,40
39,61,3,418,129,11,3,1,0,33,6,0,93,5,67,108,473,608,3,1212,708,2,10,9,14483,17,2722,818,188,21936,4,426,0,63,20
59,57,6,519,166,13,15,3,1,53,6,3,98,12,41,136,709,714,3,1101,515,0,1,1,15913,46,2509,956,220,23716,6,425,0,36,12
45,56,0,405,145,10,15,3,2,40,5,1,49,8,70,136,459,635,1,1037,539,5,9,6,16131,15,2579,864,196,23728,2,446,1,72,16
42,74,5,558,163,10,10,4,2,38,4,0,58,5,67,147,735,912,15,1638,936,4,5,3,11404,114,2277,875,183,21587,9,445,2,50,19
28,62,3,362,109,8,5,2,0,27,1,2,67,10,58,118,519,744,4,1070,490,1,6,4,14960,26,2563,765,165,22619,6,416,2,31,24
48,55,3,559,160,9,4,4,2,35,13,6,95,16,40,105,521,963,1,2103,1029,3,4,2,12794,37,2278,663,184,21907,4,683,2,77,28
40,65,7,468,143,6,7,1,0,34,6,1,38,8,63,100,639,824,6,1020,569,1,4,4,15019,57,2378,864,222,23375,3,466,0,53,21
33,73,6,428,131,11,10,1,0,30,3,2,72,10,51,158,607,763,2,1316,761,0,3,1,14864,21,2726,804,169,22464,7,443,2,36,23
78,56,3,618,212,15,18,3,1,71,7,5,102,15,37,107,646,693,17,1053,634,1,6,5,18870,212,2279,1005,243,26671,2,471,0,45,16
48,64,2,439,141,10,2,3,4,40,8,2,88,7,62,144,571,767,4,1277,616,1,8,7,12799,57,2635,589,153,20339,7,376,0,64,19
31,73,1,378,114,7,10,1,1,29,2,2,79,10,56,148,469,604,0,993,544,2,1,1,13218,34,2699,784,176,20552,3,446,0,40,5
50,48,3,460,160,19,10,6,1,43,7,2,74,8,60,161,745,680,3,1274,669,0,6,3,16940,40,2131,733,176,24744,7,446,3,67,24
40,67,4,511,170,9,3,2,5,32,8,5,71,7,61,116,763,914,20,1196,628,0,6,4,15180,111,2217,620,169,23517,5,540,1,50,25
38,58,5,500,152,19,10,2,1,32,6,2,81,8,57,113,653,922,17,1552,892,0,7,6,14497,142,2379,852,194,25414,9,601,1,79,26
28,51,1,338,103,8,3,1,0,24,4,0,38,9,56,124,390,610,2,943,499,2,7,3,15721,23,2580,694,150,22775,1,439,3,44,15
67,45,1,686,214,13,7,5,2,51,16,7,93,18,28,83,614,1089,2,1952,1060,2,5,4,16360,57,2761,932,237,25857,4,613,1,42,22
45,55,1,465,158,10,4,3,1,38,7,0,52,6,61,160,367,508,3,1037,523,1,3,2,16131,37,2299,707,218,23634,6,419,1,37,20
40,74,4,473,148,13,9,4,1,35,5,0,119,10,60,119,557,824,14,1649,900,2,6,5,13436,111,2307,865,199,23450,9,372,0,48,36
38,53,4,427,132,16,10,2,1,30,8,2,86,10,53,146,616,723,4,1048,588,2,4,3,15267,22,2181,853,160,22985,6,413,1,24,24
44,64,2,488,152,13,15,1,1,35,9,1,91,9,47,165,505,647,7,1474,835,2,5,2,13568,42,2548,968,241,21793,3,404,3,52,15
34,54,2,384,119,8,7,5,0,30,4,0,98,10,54,190,449,599,1,1085,625,5,3,1,14675,32,2774,680,163,21668,10,296,2,38,14
60,57,2,589,194,12,16,5,2,52,8,2,94,11,49,137,827,768,19,1601,880,3,2,0,14832,115,2335,1022,230,24914,4,600,2,52,17
86,57,1,561,213,24,14,4,1,77,9,2,96,13,43,143,514,731,4,1319,848,4,0,0,19696,103,1973,962,218,27264,5,506,0,38,28
39,78,0,431,135,11,10,2,3,33,6,4,84,9,61,126,460,747,4,1068,487,4,6,5,13856,30,2298,749,163,21453,3,359,1,102,15
101,54,1,651,258,27,14,10,6,82,19,9,78,10,50,127,465,848,3,1339,750,6,4,3,19599,191,1895,643,224,28172,5,427,1,36,29
71,54,2,739,232,19,9,5,3,59,12,1,110,16,43,107,526,795,2,914,448,1,5,4,19802,101,2040,794,284,27722,3,529,1,38,23
43,53,6,579,182,14,8,2,1,35,8,3,78,10,59,101,601,736,15,1110,596,1,5,5,16087,131,1810,787,190,24484,4,453,0,51,21
39,60,2,469,153,12,7,4,1,33,6,0,81,8,51,176,698,649,3,963,506,4,4,4,13785,16,2759,969,219,21861,4,467,0,43,5
38,73,5,364,100,11,14,5,0,35,3,1,65,12,55,169,574,688,11,1555,926,2,3,2,9478,66,2171,697,174,18693,7,438,0,85,41
58,49,4,572,201,11,3,6,2,52,6,8,79,10,50,124,740,939,18,1496,828,2,4,3,15971,187,2229,690,210,26120,7,578,1,54,34
41,59,2,550,179,12,4,3,0,37,4,0,73,14,48,128,514,675,1,914,505,1,9,6,18245,57,2336,947,198,25881,4,455,1,26,12
74,50,2,623,216,13,11,2,1,64,11,8,88,16,36,74,380,618,3,825,422,1,3,2,21660,83,2447,825,246,29412,1,460,0,20,21
38,74,1,452,155,7,3,2,4,30,8,4,98,11,47,193,777,785,4,1499,815,1,3,3,13540,124,2433,736,186,23678,5,445,0,78,35
45,48,1,544,167,13,9,1,2,35,10,3,128,10,52,167,556,683,6,960,521,2,9,7,14691,69,1776,783,212,22205,7,419,2,60,19
58,79,4,527,171,11,8,3,4,47,11,2,77,9,53,117,674,815,6,1047,636,2,7,5,19322,69,2357,742,224,27495,1,552,1,51,28
31,94,2,408,130,11,8,4,2,25,6,2,69,13,53,168,578,759,4,994,525,5,4,4,14451,40,2484,687,186,22037,3,411,0,82,17
45,74,1,492,158,9,9,4,2,38,7,2,82,11,53,166,459,728,4,1520,788,1,2,2,12582,26,1910,1014,212,20669,4,493,0,36,6
44,60,5,397,151,6,12,3,1,38,6,4,59,8,65,155,646,793,4,939,486,2,5,4,15118,28,2578,775,161,22993,2,435,1,70,31
73,73,4,564,210,15,10,4,1,66,7,1,75,17,32,102,376,759,2,1027,611,1,3,3,20268,73,2276,682,226,27861,2,476,0,73,13
39,65,2,391,120,5,4,6,3,31,8,2,101,10,55,221,539,638,2,1233,698,2,5,4,12558,21,3176,650,149,19776,6,334,1,29,14
42,75,3,534,150,16,10,3,1,34,8,1,81,6,73,159,561,781,6,1445,884,4,4,2,13659,17,3004,756,179,21907,6,468,2,57,20
63,61,3,629,202,16,12,2,1,48,15,1,91,11,50,108,549,871,4,871,407,1,3,2,19733,75,2370,780,265,27890,2,560,1,41,18
106,59,2,665,265,23,12,6,1,93,13,4,67,18,27,53,346,563,3,588,308,2,2,0,28241,118,1775,691,284,35130,4,406,2,21,15
36,76,0,451,149,14,5,0,2,30,6,2,111,12,54,145,542,866,3,2166,1128,4,5,5,11854,22,2163,905,208,20846,6,545,0,47,20
55,49,1,496,169,12,14,4,4,47,8,0,99,17,37,146,660,775,12,1602,854,2,3,3,15024,102,2299,1022,191,25205,4,584,0,74,25
32,49,1,418,124,10,9,1,0,28,4,0,81,7,74,178,491,619,4,1268,702,0,2,2,14007,35,2047,792,196,22018,5,490,0,59,13
71,54,4,511,182,11,16,6,5,55,16,3,115,9,51,139,461,885,0,2220,1183,3,4,2,11438,30,1982,932,229,20734,6,655,2,40,14
56,78,2,507,168,10,15,5,0,50,6,1,82,9,57,134,608,666,11,1025,598,2,6,5,14194,95,2104,1022,202,22108,7,527,0,56,26
37,57,3,401,121,11,10,2,0,34,3,1,91,9,58,179,573,668,7,1261,771,4,6,5,14036,82,2657,784,150,21652,9,375,1,71,21
80,71,4,633,216,20,8,7,2,73,7,6,89,12,39,66,504,643,0,905,544,1,5,2,22706,124,1997,801,280,30363,4,465,2,26,20
67,58,1,681,226,13,12,2,2,59,8,6,117,13,41,129,804,844,10,1360,729,0,9,6,15474,122,2535,912,241,25855,6,516,3,93,48
89,51,1,646,243,17,16,9,2,74,15,2,89,20,33,138,574,803,6,1165,749,2,3,2,20184,103,2189,1018,279,28113,3,521,1,37,26
74,57,2,594,234,17,13,4,1,68,7,0,89,13,51,104,427,623,5,829,449,0,6,5,23524,117,1994,572,225,30635,5,412,1,39,24
35,62,1,384,132,8,8,0,1,28,8,2,87,6,68,142,461,678,9,1164,609,2,5,5,12892,33,2528,598,136,20368,3,402,0,27,14
55,47,2,531,161,11,8,7,3,44,11,3,97,6,78,206,451,780,7,1616,860,5,3,2,15113,75,2582,836,183,23616,16,499,0,49,29
55,59,3,633,207,21,13,2,1,44,11,4,100,11,40,126,592,720,7,1172,677,2,2,2,15829,54,2055,989,257,23854,8,449,0,61,28
48,82,1,500,136,9,14,3,0,41,7,1,75,9,45,134,496,729,8,1159,694,0,5,5,15386,12,2429,887,195,23427,3,428,0,68,12
46,50,5,495,163,8,7,5,0,40,6,0,55,3,77,169,694,732,9,1255,648,1,3,2,13580,101,2123,769,210,21694,8,442,1,58,16
43,54,9,539,150,15,10,2,3,36,7,0,83,7,66,187,547,764,1,1412,800,2,3,3,13383,42,2149,796,195,21309,8,429,0,26,22
59,44,5,491,175,18,10,4,0,53,6,2,55,10,55,160,511,730,3,994,489,1,6,5,17947,57,2742,782,218,25741,4,453,0,53,14
62,42,4,606,220,11,17,3,2,52,10,1,108,16,38,107,423,636,1,768,419,2,2,2,21264,70,2140,755,230,28728,3,415,0,27,12
45,50,4,423,143,5,5,2,2,34,11,3,103,11,53,151,482,916,3,1852,819,2,4,2,15149,45,2289,695,156,23416,7,559,2,45,43
28,55,3,498,140,7,1,1,2,25,3,0,121,7,57,144,607,784,23,1582,846,6,2,2,13124,124,2130,983,172,23322,5,540,0,85,18
